"feature"	"metadata"	"value"	"coef"	"pval"	"qval"	"association"
"bac16SV4_L100_Nextseq_00056"	"day"	"day"	0.206134543865846	0.000838529279449031	0.00683807102724887	"abundance"
"bac16SV4_L100_Nextseq_02718"	"day"	"day"	-0.147271539589849	0.000855040134776856	0.00692801750229452	"abundance"
"bac16SV4_L100_Nextseq_07594"	"day"	"day"	-0.0433224996405727	0.000889803208281956	0.00716376595712352	"abundance"
"bac16SV4_L100_Nextseq_00204"	"day"	"day"	0.144431366409103	0.000905631738310545	0.00724505390648436	"abundance"
"bac16SV4_L100_Nextseq_15027"	"read_depth"	"read_depth"	-0.00506276891939018	0.000974823616283674	0.0077495412011482	"abundance"
"bac16SV4_L100_Nextseq_00095"	"day"	"day"	0.122319504989594	0.00101080392664798	0.00798535102051905	"abundance"
"bac16SV4_L100_Nextseq_00121"	"day"	"day"	0.150747737285051	0.00105187973666865	0.00825823594502595	"abundance"
"bac16SV4_L100_Nextseq_04382"	"day"	"day"	-0.0680223965590988	0.00111376453234242	0.00869011338815317	"abundance"
"bac16SV4_L100_Nextseq_05190"	"read_depth"	"read_depth"	-0.0934169614318454	0.00114001093284943	0.00884033017866064	"abundance"
"bac16SV4_L100_Nextseq_00371"	"day"	"day"	0.132153783599121	0.00124666809036361	0.00960846625743662	"abundance"
"bac16SV4_L100_Nextseq_00015"	"read_depth"	"read_depth"	0.225628015601536	0.0012686376435844	0.00971853322115566	"abundance"
"bac16SV4_L100_Nextseq_00189"	"read_depth"	"read_depth"	0.00488180550886486	0.00149130618771868	0.0113554880799784	"abundance"
"bac16SV4_L100_Nextseq_00069"	"day"	"day"	0.282091187939364	0.00171243037866345	0.0129611496923988	"abundance"
"bac16SV4_L100_Nextseq_00034"	"day"	"day"	0.25264313500766	0.00178386790918771	0.0134214823643647	"abundance"
"bac16SV4_L100_Nextseq_00242"	"day"	"day"	0.0704306654295632	0.00186995563011905	0.0139859403341448	"abundance"
"bac16SV4_L100_Nextseq_00010"	"read_depth"	"read_depth"	0.473207036760018	0.00209352782438874	0.015565995117808	"abundance"
"bac16SV4_L100_Nextseq_00590"	"read_depth"	"read_depth"	-0.282254329429536	0.00210797068156835	0.0155731377889819	"abundance"
"bac16SV4_L100_Nextseq_01525"	"day"	"day"	-0.139006315360841	0.00213145002966287	0.0155731377889819	"abundance"
"bac16SV4_L100_Nextseq_07925"	"day"	"day"	-0.0323892707692957	0.00212196934568098	0.0155731377889819	"abundance"
"bac16SV4_L100_Nextseq_00035"	"day"	"day"	0.184562859944448	0.00215351077713853	0.0156438943810523	"abundance"
"bac16SV4_L100_Nextseq_00183"	"read_depth"	"read_depth"	0.0964436098273167	0.00218461658804728	0.0157791735273815	"abundance"
"bac16SV4_L100_Nextseq_06107"	"day"	"day"	-0.0680363002594376	0.00248167068423404	0.0178229076413172	"abundance"
"bac16SV4_L100_Nextseq_00020"	"day"	"day"	0.219888336677033	0.00253848042253734	0.0180260632252089	"abundance"
"bac16SV4_L100_Nextseq_00315"	"day"	"day"	0.0993958807307182	0.0025273328071609	0.0180260632252089	"abundance"
"bac16SV4_L100_Nextseq_00048"	"day"	"day"	0.158154596379704	0.00257873100634952	0.0182095865476302	"abundance"
"bac16SV4_L100_Nextseq_12689"	"day"	"day"	0.0209875852275198	0.00260370094023787	0.0182837666025593	"abundance"
"bac16SV4_L100_Nextseq_00297"	"day"	"day"	0.0767970683215532	0.00274214081944298	0.0191495358882648	"abundance"
